Date,BBUSAGG,MSCIWO,SP500,WBIG,BTC,JPMGABI
1/6/12,1767.33,1191.67,1277.81,203.07,6.00,515.27
1/13/12,1776.96,1201.06,1289.09,204.17,6.60,518.26
1/20/12,1768.11,1235.64,1315.38,204.92,6.95,519.80
1/27/12,1778.82,1246.04,1316.33,207.46,5.88,526.21
2/3/12,1777.68,1273.74,1344.90,207.93,6.30,527.43
2/10/12,1781.01,1269.66,1342.64,207.67,5.88,526.64
2/17/12,1778.30,1288.05,1361.23,206.68,4.67,524.22
2/24/12,1782.09,1300.57,1365.74,207.94,4.95,526.98
3/2/12,1785.49,1298.51,1369.63,207.26,4.79,525.51
3/9/12,1781.37,1291.86,1370.87,206.18,4.93,522.81
3/16/12,1769.08,1320.96,1404.17,204.55,5.26,518.38
3/23/12,1772.95,1308.25,1397.11,206.02,4.78,521.81
3/30/12,1775.14,1312.01,1408.47,206.80,4.88,523.55
4/6/12,1785.02,1289.03,1398.08,205.69,4.99,520.38
4/13/12,1789.47,1268.35,1370.26,206.94,4.93,524.66
4/20/12,1791.08,1281.71,1378.53,207.22,5.38,525.29
4/27/12,1793.39,1298.71,1403.36,208.61,5.04,528.72
5/4/12,1798.98,1264.99,1369.10,208.99,5.07,529.81
5/11/12,1800.54,1242.40,1353.39,208.35,4.95,528.41
5/18/12,1804.09,1178.43,1295.22,207.53,5.07,526.76
5/25/12,1800.93,1188.56,1317.82,206.28,5.08,523.82
6/1/12,1816.25,1152.97,1278.04,207.62,5.22,527.54
6/8/12,1806.59,1188.86,1325.66,206.54,5.61,524.65
6/15/12,1811.90,1208.53,1342.84,207.69,6.42,527.50
6/22/12,1809.75,1205.67,1335.02,206.33,6.59,524.25
6/29/12,1811.77,1235.72,1362.16,207.67,6.52,527.49
7/6/12,1821.26,1229.36,1354.68,207.08,6.59,526.62
7/13/12,1828.15,1225.55,1356.78,207.88,7.59,528.81
7/20/12,1836.06,1231.35,1362.66,208.64,8.44,530.91
7/27/12,1830.47,1250.02,1385.97,209.05,8.83,531.71
8/3/12,1831.58,1259.65,1390.99,209.27,10.79,532.34
8/10/12,1830.06,1278.36,1405.87,209.53,11.32,532.82
8/17/12,1818.48,1290.23,1418.16,207.93,12.50,528.39
8/24/12,1828.83,1285.84,1411.13,210.45,10.37,534.63
8/31/12,1837.96,1279.21,1406.58,211.52,10.16,537.44
9/7/12,1833.08,1312.08,1437.92,212.81,11.03,540.15
9/14/12,1825.83,1347.61,1465.77,213.79,11.50,541.95
9/21/12,1834.08,1338.05,1460.15,213.81,12.19,542.43
9/28/12,1840.49,1311.50,1440.67,214.04,12.28,543.34
10/5/12,1836.51,1334.63,1460.93,214.37,12.50,543.81
10/12/12,1843.40,1306.02,1428.59,214.70,11.90,544.84
10/19/12,1840.01,1322.28,1433.19,214.07,11.67,543.13
10/26/12,1839.56,1300.23,1411.94,213.52,10.00,542.02
11/2/12,1841.23,1305.77,1414.20,212.90,10.67,540.38
11/9/12,1847.32,1276.03,1379.85,213.39,10.80,542.12
11/16/12,1847.53,1253.31,1359.88,212.45,11.46,539.68
11/23/12,1841.95,1304.85,1409.15,212.89,12.16,540.17
11/30/12,1847.02,1315.49,1416.18,213.91,12.43,542.78
12/7/12,1846.72,1320.74,1418.07,213.91,13.37,542.81
12/14/12,1844.08,1325.49,1413.58,214.02,13.51,542.86
12/21/12,1842.75,1341.06,1430.15,214.17,13.20,543.03
12/28/12,1846.24,1326.84,1402.43,213.73,13.18,542.12
1/4/13,1836.38,1370.11,1466.47,210.91,13.19,535.06
1/11/13,1839.47,1381.94,1472.05,212.39,14.00,538.54
1/18/13,1840.16,1388.11,1485.98,211.81,15.57,538.20
1/25/13,1833.16,1405.47,1502.96,211.71,17.49,536.62
2/1/13,1829.97,1416.79,1513.17,211.83,20.35,536.36
2/8/13,1833.16,1410.44,1517.93,210.39,22.40,533.35
2/15/13,1832.38,1406.92,1519.79,209.65,27.00,531.66
2/22/13,1834.73,1402.05,1515.60,209.17,30.40,530.68
3/1/13,1842.17,1401.75,1518.20,209.06,34.55,530.90
3/8/13,1830.28,1428.72,1551.18,207.28,43.76,526.16
3/15/13,1835.18,1444.48,1560.70,208.81,46.90,529.68
