Date,MINT,EMB,IAU,VCIT,MUB,SCHA,VEA,VYM
2015-06-15,101.25,108.91,11.46,85.13,108.13,58.21,40.8,68.61
2015-06-16,101.27,108.89,11.42,85.29,108.32,58.57,40.79,69.02
2015-06-17,101.23,109.37,11.47,85.45,108.29,58.55,40.68,69.19
2015-06-18,101.23,109.93,11.62,85.36,108.26,59.16,41.07,69.93
2015-06-19,101.27,110.21,11.6,85.8,108.45,59.17,40.98,69.54
2015-06-22,101.23,110.37,11.45,85.16,108.12,59.32,41.69,69.94
2015-06-23,101.22,110.33,11.39,84.97,108.09,59.43,41.84,69.89
2015-06-24,101.22,110.43,11.35,85.1,108.38,58.89,41.5,69.37
2015-06-25,101.21,110.28,11.33,84.87,108.26,58.76,41.49,69.1
2015-06-26,101.23,109.93,11.35,84.73,108.13,58.64,40.94,68.66
2015-06-29,101.24,109.64,11.39,85.32,108.59,57.23,39.71,67.34
2015-06-30,101.15,109.92,11.34,85.3,108.21,57.48,39.65,67.32
2015-07-01,101.17,109.9,11.3,84.81,107.99,57.67,39.91,67.77
2015-07-02,101.19,109.97,11.27,85.03,108.15,57.35,40.01,67.79
2015-07-06,101.16,109.51,11.3,85.11,108.32,57.21,39.19,67.57
2015-07-07,101.2,109.43,11.18,85.59,108.3,57.37,39.18,68.08
2015-07-08,101.22,109.22,11.21,85.59,108.7,56.5,38.23,67.13
2015-07-09,101.19,109.47,11.23,85.18,108.53,56.72,38.85,67.17
2015-07-10,101.12,109.88,11.24,84.66,108.41,57.45,40.03,67.88
2015-07-13,101.15,109.71,11.2,84.52,108.36,58.02,40.2,68.51
2015-07-14,101.14,109.35,11.17,84.62,108.46,58.3,40.48,68.73
2015-07-15,101.14,109.35,11.1,84.83,108.4,57.97,40.32,68.6
2015-07-16,101.15,109.64,11.06,84.84,108.49,58.33,40.66,69.11
2015-07-17,101.12,109.68,10.95,84.87,108.68,57.99,40.6,68.78
2015-07-20,101.13,109.53,10.65,84.68,108.7,57.75,40.69,68.73
2015-07-21,101.17,109.6,10.62,84.84,108.79,57.48,40.58,68.34
2015-07-22,101.11,109.67,10.56,84.8,108.87,57.59,40.24,68.14
2015-07-23,101.15,109.38,10.52,85.09,109.0,57.08,40.11,67.78
2015-07-24,101.16,108.98,10.62,85.06,109.09,56.35,39.68,67.11
2015-07-27,101.2,108.55,10.58,85.04,109.17,55.81,39.43,66.86
2015-07-28,101.19,108.74,10.58,85.07,109.07,56.33,39.92,67.61
2015-07-29,101.18,109.3,10.6,84.95,108.96,56.72,40.06,68.15
2015-07-30,101.16,109.65,10.51,84.86,108.97,56.86,40.04,68.18
2015-07-31,101.1,109.66,10.58,85.24,109.19,57.12,40.23,68.03
2015-08-03,101.07,108.76,10.49,85.13,109.1,56.79,40.11,67.83
2015-08-04,101.09,108.92,10.52,84.77,108.87,56.72,40.15,67.7
2015-08-05,101.08,108.81,10.48,84.64,108.82,56.94,40.36,67.99
2015-08-06,101.09,108.42,10.52,84.65,108.87,56.24,40.18,67.67
2015-08-07,101.1,108.47,10.56,84.95,108.89,55.94,40.14,67.42
2015-08-10,101.09,108.49,10.66,84.58,108.61,56.63,40.63,68.28
2015-08-11,101.12,108.52,10.72,85.02,109.09,56.17,39.99,67.7
2015-08-12,101.11,108.58,10.86,84.96,108.81,56.06,39.73,67.82
2015-08-13,101.1,108.49,10.77,84.74,108.92,55.95,39.72,67.7
2015-08-14,101.11,108.55,10.78,84.58,108.93,56.29,39.79,68.0
2015-08-17,101.13,108.62,10.79,84.75,108.94,56.78,39.71,68.24
2015-08-18,101.13,108.23,10.8,84.52,108.78,56.43,39.4,68.02
2015-08-19,101.15,107.94,10.94,84.98,109.03,55.86,39.08,67.45
2015-08-20,101.09,107.55,11.14,84.82,109.0,54.4,38.12,66.35
2015-08-21,101.09,107.09,11.2,85.02,109.24,53.49,37.16,64.51
2015-08-24,101.16,105.57,11.14,84.78,108.91,51.42,35.91,61.44
2015-08-25,101.12,106.36,11.02,84.37,108.73,51.0,36.26,60.85
2015-08-26,101.14,106.34,10.87,84.23,108.63,52.3,37.21,63.06
2015-08-27,101.05,107.88,10.85,84.22,108.9,53.4,37.7,64.52
2015-08-28,101.04,107.95,10.95,84.26,108.92,53.79,37.6,64.55
2015-08-31,101.06,108.01,10.98,84.22,108.84,53.54,37.32,64.18
2015-09-01,101.06,107.63,11.01,84.39,108.95,52.06,36.09,62.25
2015-09-02,101.01,107.16,10.95,84.53,108.79,52.89,36.66,63.22
2015-09-03,101.01,107.72,10.88,84.85,108.88,52.96,36.71,63.43
2015-09-04,101.0,107.64,10.83,85.04,109.0,52.51,35.87,62.42
2015-09-08,101.02,107.6,10.84,84.78,108.7,53.68,36.93,63.95
2015-09-09,101.01,107.96,10.7,84.76,108.72,53.17,36.79,63.05
2015-09-10,100.99,107.8,10.72,84.71,108.6,53.31,37.03,63.27
2015-09-11,101.02,107.82,10.71,84.94,108.64,53.54,37.02,63.4
2015-09-14,101.01,107.89,10.72,84.85,108.6,53.34,36.75,63.21
2015-09-15,100.96,107.76,10.67,84.32,108.18,53.92,37.02,64.07
2015-09-16,100.96,108.2,10.81,84.23,108.19,54.38,37.55,64.7
2015-09-17,100.99,108.83,10.94,84.88,108.7,54.46,37.57,64.54
2015-09-18,101.0,109.11,11.01,85.13,108.95,53.67,36.66,63.56
2015-09-21,100.98,108.5,10.94,84.76,108.83,53.43,36.67,63.83
2015-09-22,101.02,107.63,10.88,85.09,109.13,52.62,35.81,63.12
2015-09-23,100.98,107.41,10.91,84.96,109.11,52.42,35.64,62.39
2015-09-24,100.98,107.05,11.13,85.02,109.15,52.26,35.51,62.36
2015-09-25,100.95,106.8,11.08,84.79,109.1,51.78,35.66,62.59
2015-09-28,100.93,105.88,10.94,85.01,109.39,50.29,35.0,61.38
2015-09-29,100.9,105.64,10.9,85.27,109.58,50.03,34.93,61.61
2015-09-30,100.75,106.4,10.78,85.43,109.55,50.79,35.64,62.65
2015-10-01,100.74,105.63,10.76,85.13,109.3,50.66,35.74,62.59
2015-10-02,100.76,106.83,11.0,85.35,109.66,51.47,36.33,63.46
2015-10-05,100.76,107.36,10.96,85.07,109.49,52.72,37.06,64.84
2015-10-06,100.81,107.7,11.08,85.26,109.56,52.52,37.1,64.86
2015-10-07,100.78,108.04,11.06,85.6,109.42,53.3,37.54,65.47
2015-10-08,100.76,108.09,11.01,85.2,109.31,53.87,37.85,66.16
2015-10-09,100.79,108.54,11.18,85.26,109.32,53.96,37.93,66.03
2015-10-12,100.82,108.68,11.23,85.42,109.52,53.81,37.86,65.95
2015-10-13,100.8,107.92,11.28,85.64,109.45,53.15,37.41,65.58
2015-10-14,100.88,108.41,11.48,86.03,109.6,52.77,37.47,65.36
2015-10-15,100.83,108.95,11.43,85.77,109.43,53.68,38.16,66.24
2015-10-16,100.8,109.54,11.35,85.76,109.46,53.67,38.14,66.64
2015-10-19,100.85,109.55,11.29,85.8,109.55,53.67,37.98,66.5
2015-10-20,100.81,108.95,11.38,85.7,109.52,53.66,37.85,66.43
2015-10-21,100.83,108.57,11.27,85.99,109.65,52.89,37.82,66.15
2015-10-22,100.86,109.03,11.27,86.19,109.68,53.32,38.27,67.47
2015-10-23,100.82,109.25,11.25,85.95,109.52,53.8,38.62,68.07
2015-10-26,100.88,109.31,11.24,86.07,109.63,53.53,38.48,67.82
2015-10-27,100.86,109.01,11.27,86.17,109.72,52.9,38.14,67.55
2015-10-28,100.83,108.56,11.18,85.76,109.59,54.21,38.35,68.29
2015-10-29,100.84,108.72,11.06,85.26,109.51,53.79,38.07,68.1
2015-10-30,100.88,108.5,11.02,85.43,109.71,53.64,38.04,67.92
2015-11-02,100.81,108.14,10.95,85.03,109.42,54.7,38.41,68.66
2015-11-03,100.82,108.74,10.78,85.1,109.25,54.94,38.41,68.86
2015-11-04,100.78,108.72,10.68,85.05,109.29,54.78,38.16,68.68
2015-11-05,100.8,108.85,10.65,84.93,109.28,54.89,38.11,68.47
2015-11-06,100.78,108.19,10.5,84.54,108.91,55.16,37.93,68.35
2015-11-09,100.81,107.67,10.53,84.28,108.84,54.53,37.53,67.67
2015-11-10,100.84,107.81,10.5,84.54,108.9,54.64,37.52,67.82
2015-11-11,100.81,107.84,10.48,84.58,108.95,54.21,37.7,67.77
2015-11-12,100.8,108.04,10.47,84.74,109.04,53.12,37.25,66.79
2015-11-13,100.82,107.88,10.45,84.86,109.15,52.69,36.96,66.29
2015-11-16,100.88,107.94,10.46,84.91,109.09,53.21,37.4,67.31
2015-11-17,100.85,108.19,10.33,84.92,109.29,53.07,37.45,67.12
2015-11-18,100.85,108.45,10.32,85.04,109.49,53.92,37.81,67.96
2015-11-19,100.85,108.65,10.45,85.2,109.68,53.72,38.01,68.11
2015-11-20,100.86,108.99,10.4,85.13,109.7,53.97,37.93,68.16
2015-11-23,100.84,108.88,10.31,85.11,109.8,54.2,37.7,68.08
2015-11-24,100.86,108.77,10.39,85.2,109.88,54.6,37.75,68.31
2015-11-25,100.87,108.67,10.33,85.21,109.94,54.94,37.81,68.18
2015-11-27,100.89,108.68,10.22,85.15,109.96,55.1,37.8,68.26
2015-11-30,100.92,108.39,10.28,85.19,110.03,54.86,37.75,68.07
2015-12-01,100.84,108.28,10.31,85.32,109.95,55.22,38.16,68.67
2015-12-02,100.77,107.93,10.15,85.1,110.0,54.63,37.76,67.9
2015-12-03,100.8,107.18,10.26,84.45,109.65,53.74,37.58,67.04
2015-12-04,100.8,107.34,10.5,84.74,109.83,54.26,37.85,68.23
2015-12-07,100.79,107.08,10.35,84.77,109.94,53.43,37.54,67.78
2015-12-08,100.77,106.91,10.37,84.77,110.01,53.15,36.97,67.16
2015-12-09,100.73,107.09,10.35,84.74,110.13,52.61,36.89,66.97
2015-12-10,100.76,106.93,10.35,84.63,110.18,52.76,36.88,67.07
2015-12-11,100.8,105.29,10.39,84.78,110.38,51.71,36.22,65.91
2015-12-14,100.73,105.71,10.27,84.34,110.12,51.3,36.3,66.31
2015-12-15,100.73,106.06,10.24,84.06,110.01,52.01,36.44,67.13
2015-12-16,100.69,106.14,10.37,84.04,110.02,52.72,37.18,68.07
2015-12-17,100.68,106.23,10.15,84.14,110.35,52.13,36.75,67.16
2015-12-18,100.69,105.99,10.29,84.23,110.55,51.38,36.36,66.01
2015-12-21,100.76,105.8,10.4,84.28,110.6,51.48,36.37,65.84
2015-12-22,100.67,105.98,10.35,84.29,110.57,51.97,36.64,66.54
2015-12-23,100.66,106.46,10.32,84.15,110.62,52.71,37.24,67.54
2015-12-24,100.74,105.96,10.39,84.24,110.39,52.82,37.14,67.35
2015-12-28,100.75,105.66,10.32,84.22,110.44,52.53,37.03,67.18
2015-12-29,100.63,105.76,10.3,83.87,110.47,53.03,37.42,67.82
2015-12-30,100.63,105.98,10.23,83.77,110.54,52.57,37.19,67.41
2015-12-31,100.61,105.78,10.23,84.09,110.71,52.08,36.72,66.75
2016-01-04,100.71,105.67,10.38,84.21,110.47,51.09,36.17,65.95
2016-01-05,100.71,105.95,10.4,84.23,110.6,51.11,36.13,66.28
2016-01-06,100.72,105.94,10.57,84.5,111.09,50.36,35.47,65.41
2016-01-07,100.71,105.44,10.72,84.55,111.25,48.98,34.8,64.0
2016-01-08,100.7,105.35,10.66,84.58,111.3,48.25,34.37,63.28
2016-01-11,100.73,105.17,10.57,84.43,111.12,48.03,34.52,63.35
2016-01-12,100.71,104.68,10.52,84.48,111.16,48.15,34.66,63.69
2016-01-13,100.73,104.27,10.57,84.67,111.21,46.68,34.14,62.5
2016-01-14,100.7,104.39,10.39,84.41,111.01,47.24,34.54,63.64
2016-01-15,100.73,103.36,10.51,84.44,111.35,46.46,33.34,62.41
2016-01-19,100.72,103.74,10.5,84.13,111.34,45.9,33.63,62.4
